model,manufacturer,type,cylinders,size,drive
odyssey ex-l,honda,van,6 cylinders,full-size,fwd
charger,dodge,sedan,6 cylinders,mid-size,rwd
gs 350,lexus,sedan,6 cylinders,mid-size,rwd
frontier crew cab,nissan,pickup,6 cylinders,mid-size,4wd
compass latitude,jeep,SUV,4 cylinders,mid-size,4wd
f250 xlt crew 4x4 diesel,ford,pickup,8 cylinders,full-size,4wd
corornet,dodge,coupe,8 cylinders,full-size,rwd
topkick c7500 boom truck,gmc,truck,8 cylinders,full-size,rwd
enclave,buick,SUV,6 cylinders,mid-size,4wd
1500,chevrolet,truck,8 cylinders,full-size,rwd
cooper s,mini,coupe,4 cylinders,compact,fwd
740gl,volvo,sedan,4 cylinders,full-size,rwd
pt cruiser,chrysler,convertible,4 cylinders,mid-size,fwd
prius,toyota,hatchback,4 cylinders,sub-compact,fwd
big horn,ram,truck,8 cylinders,full-size,rwd
xv crosstrek,subaru,SUV,4 cylinders,compact,4wd
outlook,saturn,SUV,6 cylinders,full-size,4wd
dakota,dodge,pickup,8 cylinders,mid-size,4wd
camaro,chevrolet,coupe,6 cylinders,full-size,rwd
econoline,ford,van,8 cylinders,full-size,rwd
ls v8,lincoln,sedan,8 cylinders,full-size,rwd
escalade,cadillac,SUV,10 cylinders,full-size,4wd
f150 xlt,ford,pickup,8 cylinders,full-size,4wd
cherokee trailhawk 4x4 gas,jeep,SUV,4 cylinders,mid-size,fwd
edge limited,ford,SUV,6 cylinders,full-size,4wd
sierra,gmc,truck,8 cylinders,full-size,4wd
fusion,ford,sedan,4 cylinders,mid-size,fwd
300,chrysler,sedan,6 cylinders,full-size,fwd
frontier,nissan,truck,4 cylinders,mid-size,rwd
tundra,toyota,truck,10 cylinders,full-size,4wd
mx-5 miata,mazda,convertible,4 cylinders,mid-size,rwd
grand cherokee laredo 4x4,jeep,SUV,6 cylinders,mid-size,4wd
1500,ram,truck,8 cylinders,full-size,4wd
grand cherokee,jeep,SUV,6 cylinders,full-size,rwd
3-series,bmw,sedan,6 cylinders,compact,rwd
gs 450h,lexus,sedan,6 cylinders,mid-size,rwd
mustang,ford,coupe,6 cylinders,mid-size,rwd
3500 slt,ram,truck,6 cylinders,full-size,4wd
accord,honda,sedan,6 cylinders,full-size,rwd
es300,lexus,sedan,6 cylinders,mid-size,fwd
sonata,hyundai,sedan,4 cylinders,mid-size,fwd
sierra 1500 sle crew,gmc,pickup,8 cylinders,full-size,4wd
suburban,chevrolet,SUV,8 cylinders,full-size,rwd
500 pop 2dr hatchback,fiat,hatchback,4 cylinders,sub-compact,fwd
wrangler,jeep,SUV,10 cylinders,full-size,4wd
fusion se,ford,sedan,4 cylinders,compact,fwd
escape,ford,SUV,4 cylinders,mid-size,fwd
bel air,chevrolet,sedan,8 cylinders,full-size,rwd
impala,chevrolet,coupe,8 cylinders,full-size,rwd
tundra crewmax,toyota,truck,8 cylinders,full-size,4wd
focus se,ford,sedan,4 cylinders,compact,fwd
trax,chevrolet,wagon,4 cylinders,compact,4wd
passat se,volkswagen,sedan,3 cylinders,full-size,fwd
juke,nissan,wagon,4 cylinders,compact,fwd
scion xb,toyota,hatchback,4 cylinders,mid-size,fwd
silverado hd ext cab,chevrolet,truck,8 cylinders,full-size,rwd
silverado 1500,chevrolet,pickup,8 cylinders,full-size,4wd
impreza awd,subaru,wagon,4 cylinders,mid-size,4wd
civic,honda,sedan,4 cylinders,compact,fwd
solstice,pontiac,convertible,4 cylinders,compact,rwd
camry solara sle,toyota,sedan,4 cylinders,full-size,fwd
b4000,mazda,pickup,6 cylinders,compact,rwd
f-type,jaguar,coupe,6 cylinders,compact,rwd
f-150,ford,pickup,8 cylinders,full-size,fwd
patriot,jeep,SUV,4 cylinders,compact,fwd
sierra 1500,gmc,pickup,6 cylinders,full-size,4wd
metris cargo 3dr,mercedes-benz,van,4 cylinders,full-size,fwd
q5,audi,SUV,4 cylinders,full-size,4wd
terrain slt1,gmc,SUV,4 cylinders,mid-size,4wd
yukon hybrid,gmc,SUV,8 cylinders,full-size,rwd
silverado lt z71,chevrolet,truck,8 cylinders,compact,4wd
challenger srt8,dodge,coupe,8 cylinders,full-size,rwd
tahoe ltz,chevrolet,SUV,8 cylinders,full-size,4wd
yaris hatchback,toyota,coupe,4 cylinders,compact,fwd
veloster,hyundai,coupe,4 cylinders,compact,fwd
traverse lt2,chevrolet,SUV,6 cylinders,full-size,fwd
200 limited sedan 4d,chrysler,sedan,4 cylinders,mid-size,fwd
sorento,kia,SUV,6 cylinders,mid-size,rwd
corolla,toyota,sedan,6 cylinders,compact,fwd
fx35,infiniti,SUV,6 cylinders,compact,rwd
silverado 2500 diesel,chevrolet,truck,8 cylinders,full-size,4wd
sierra 2500hd,gmc,truck,8 cylinders,full-size,4wd
captiva sport,chevrolet,SUV,4 cylinders,mid-size,fwd
camara ss 2ss coupe,chevrolet,coupe,8 cylinders,compact,rwd
4runner,toyota,SUV,6 cylinders,mid-size,4wd
tundra,toyota,truck,8 cylinders,mid-size,4wd
740i,bmw,sedan,6 cylinders,full-size,rwd
focus,ford,hatchback,4 cylinders,compact,fwd
2 dr sedan deluxe,ford,sedan,8 cylinders,full-size,rwd
expedition,ford,SUV,8 cylinders,full-size,4wd
camry le,toyota,sedan,4 cylinders,mid-size,fwd
650i,bmw,other,8 cylinders,sub-compact,rwd
f150 xlt 4x4,ford,pickup,6 cylinders,full-size,4wd
sienna,toyota,mini-van,6 cylinders,full-size,fwd
edge 4dr sel fwd,ford,sedan,6 cylinders,mid-size,fwd
impala,chevrolet,sedan,6 cylinders,mid-size,fwd
spark,chevrolet,hatchback,4 cylinders,sub-compact,fwd
optima,kia,sedan,4 cylinders,full-size,fwd
/ wrangler,jeep,other,6 cylinders,mid-size,4wd
corrolla,toyota,sedan,4 cylinders,compact,fwd
3-series,bmw,coupe,6 cylinders,sub-compact,rwd
3500,ram,pickup,6 cylinders,full-size,4wd
expedition xlt,ford,SUV,8 cylinders,full-size,4wd
