model,manufacturer,type,cylinders,size,drive
acadia awd,gmc,SUV,6 cylinders,mid-size,4wd
tucson,hyundai,SUV,6 cylinders,full-size,fwd
xk 8convertible,jaguar,convertible,8 cylinders,mid-size,rwd
wrangler,jeep,offroad,6 cylinders,full-size,fwd
ls 460,lexus,sedan,8 cylinders,mid-size,fwd
wrangler,jeep,other,6 cylinders,compact,4wd
forester x sport utility,subaru,SUV,4 cylinders,mid-size,4wd
outlook xr,saturn,SUV,6 cylinders,full-size,fwd
grand cherokee laredo,jeep,SUV,6 cylinders,full-size,rwd
pickup,toyota,pickup,6 cylinders,mid-size,4wd
f150 4-door,ford,truck,8 cylinders,full-size,rwd
1500 6 cyl crew cab,ram,pickup,6 cylinders,full-size,rwd
mustang,ford,coupe,6 cylinders,sub-compact,rwd
g37 journey,infiniti,coupe,6 cylinders,mid-size,rwd
ion,saturn,sedan,4 cylinders,compact,fwd
gs430,lexus,sedan,8 cylinders,full-size,rwd
rdx,acura,SUV,4 cylinders,full-size,4wd
silverado 2500 hd,chevrolet,pickup,8 cylinders,full-size,4wd
lacrosse premium,buick,sedan,6 cylinders,mid-size,fwd
"nitro 4x4, 4dr, cars",dodge,SUV,6 cylinders,mid-size,4wd
f-350 super duty king ranc,ford,truck,8 cylinders,full-size,4wd
envoy xl,gmc,other,6 cylinders,full-size,4wd
soul,kia,hatchback,4 cylinders,sub-compact,fwd
crv,honda,SUV,4 cylinders,mid-size,rwd
town & country touring,chrysler,mini-van,6 cylinders,mid-size,fwd
thunderbird,ford,coupe,8 cylinders,full-size,rwd
es 300,lexus,sedan,6 cylinders,full-size,fwd
altima,nissan,sedan,10 cylinders,compact,4wd
2002,bmw,coupe,4 cylinders,compact,rwd
camry le v6,toyota,sedan,6 cylinders,mid-size,fwd
sierra 3500,gmc,truck,8 cylinders,full-size,4wd
f-150,ford,truck,6 cylinders,full-size,fwd
century sedan,buick,sedan,6 cylinders,full-size,fwd
tiguan,volkswagen,SUV,4 cylinders,mid-size,fwd
corolla ce,toyota,sedan,4 cylinders,compact,fwd
big horn,ram,truck,8 cylinders,full-size,4wd
xterra se,nissan,SUV,6 cylinders,full-size,4wd
f-150,ford,truck,8 cylinders,mid-size,4wd
dakota sport,dodge,pickup,8 cylinders,mid-size,fwd
forte ex,kia,sedan,4 cylinders,compact,fwd
accord sedan,honda,sedan,4 cylinders,mid-size,fwd
patriot,jeep,truck,4 cylinders,mid-size,fwd
gs 350 f-sport premium awd,lexus,sedan,6 cylinders,mid-size,4wd
higlander limited 4wd,toyota,SUV,4 cylinders,full-size,4wd
super duty f-250 srw,ford,truck,8 cylinders,full-size,4wd
express 3500 passenger,chevrolet,van,8 cylinders,full-size,rwd
versa,nissan,hatchback,4 cylinders,compact,fwd
cavalier,chevrolet,sedan,4 cylinders,compact,fwd
outback,subaru,hatchback,6 cylinders,mid-size,4wd
ranger supercab xlt,ford,pickup,6 cylinders,mid-size,rwd
traverse,chevrolet,SUV,6 cylinders,mid-size,fwd
grand cherokee,jeep,SUV,10 cylinders,full-size,4wd
sierra denali,gmc,pickup,8 cylinders,full-size,4wd
bronco,ford,offroad,8 cylinders,full-size,4wd
g37 sedan,infiniti,sedan,6 cylinders,compact,rwd
passat,volkswagen,sedan,6 cylinders,mid-size,fwd
charger r/t,dodge,sedan,8 cylinders,full-size,4wd
spectra5,kia,hatchback,4 cylinders,compact,fwd
express 2500 v8,chevrolet,van,8 cylinders,full-size,rwd
blazer,chevrolet,SUV,6 cylinders,full-size,4wd
silverado,chevrolet,SUV,8 cylinders,full-size,4wd
1500,ram,truck,10 cylinders,full-size,4wd
transit connect wagon,ford,mini-van,4 cylinders,mid-size,fwd
f-150 xlt,ford,pickup,6 cylinders,full-size,4wd
outback 2.5i premium,subaru,SUV,4 cylinders,full-size,4wd
535i,bmw,sedan,6 cylinders,full-size,rwd
x3 xdrive28i,bmw,SUV,6 cylinders,mid-size,fwd
canyon crew cab,gmc,pickup,5 cylinders,mid-size,rwd
colorado extended cab,chevrolet,pickup,5 cylinders,mid-size,4wd
verza,nissan,sedan,4 cylinders,mid-size,fwd
colorado z71,chevrolet,pickup,5 cylinders,mid-size,4wd
firebird,pontiac,coupe,8 cylinders,full-size,rwd
cooper clubman s,mini,hatchback,4 cylinders,full-size,fwd
wrangler sahara 4x4,jeep,SUV,6 cylinders,full-size,4wd
optima lx,kia,sedan,4 cylinders,mid-size,fwd
f250 super duty,ford,truck,10 cylinders,full-size,4wd
passat,volkswagen,sedan,6 cylinders,full-size,fwd
equinox ls,chevrolet,SUV,4 cylinders,sub-compact,fwd
versa,nissan,hatchback,4 cylinders,sub-compact,fwd
g6,pontiac,sedan,6 cylinders,compact,fwd
silverado,chevrolet,sedan,6 cylinders,mid-size,rwd
accent gls 4dr sedan,hyundai,sedan,4 cylinders,compact,fwd
f-250 platinum,ford,pickup,8 cylinders,full-size,4wd
solara,toyota,coupe,6 cylinders,mid-size,fwd
f350 diesel powerstroke 4x4,ford,truck,8 cylinders,full-size,4wd
civic coupe ex,honda,coupe,4 cylinders,compact,fwd
silverado 4x4,chevrolet,truck,8 cylinders,full-size,4wd
tacoma 4-dr 4x4,toyota,truck,6 cylinders,mid-size,4wd
fiesta,ford,sedan,4 cylinders,sub-compact,fwd
silverado 1500 lt,chevrolet,pickup,8 cylinders,full-size,4wd
express 1500,chevrolet,van,6 cylinders,full-size,rwd
suburban 1500,gmc,SUV,8 cylinders,full-size,4wd
silverado z71,chevrolet,pickup,8 cylinders,full-size,4wd
grand prix se,pontiac,sedan,6 cylinders,mid-size,fwd
f-150 king ranch 4x4,ford,truck,8 cylinders,full-size,4wd
f150 xl,ford,pickup,8 cylinders,full-size,4wd
jimmy 4x4,gmc,SUV,8 cylinders,full-size,4wd
grand cherokee overland,jeep,SUV,6 cylinders,full-size,4wd
econoline e350 super duty,ford,van,8 cylinders,full-size,rwd
hhr ls,chevrolet,SUV,4 cylinders,mid-size,fwd
rouge sv,nissan,SUV,4 cylinders,mid-size,4wd
g-4500 eldorado,chevrolet,bus,8 cylinders,full-size,rwd
2500 4x4,ram,truck,6 cylinders,full-size,4wd
elantra,hyundai,hatchback,4 cylinders,mid-size,fwd
jimmy slt,gmc,SUV,6 cylinders,mid-size,rwd
silverado 1500 lt,chevrolet,truck,8 cylinders,full-size,4wd
envision,buick,SUV,6 cylinders,mid-size,4wd
f150,ford,truck,8 cylinders,full-size,rwd
pilot ex,honda,SUV,6 cylinders,full-size,4wd
altima,nissan,coupe,4 cylinders,compact,rwd
es300,lexus,sedan,6 cylinders,full-size,fwd
"outback 2,5 i 4wd",subaru,wagon,4 cylinders,full-size,4wd
yaris s,toyota,sedan,4 cylinders,compact,fwd
f-150 4x4 supercrew pickup,ford,truck,6 cylinders,full-size,4wd
civic si sedan,honda,sedan,4 cylinders,compact,fwd
super duty f-550,ford,pickup,10 cylinders,full-size,4wd
suburban lt 2500 4wd,chevrolet,SUV,8 cylinders,full-size,4wd
silverado 1500 z71,chevrolet,pickup,8 cylinders,full-size,4wd
cr-v exl,honda,SUV,4 cylinders,mid-size,fwd
camry hybrid,toyota,sedan,4 cylinders,compact,fwd
civic,honda,other,4 cylinders,mid-size,4wd
accord,honda,coupe,4 cylinders,mid-size,rwd
528i m sport,bmw,sedan,4 cylinders,mid-size,rwd
encore touring,buick,SUV,4 cylinders,sub-compact,4wd
ml350,mercedes-benz,SUV,6 cylinders,full-size,4wd
fusion sport,ford,sedan,6 cylinders,full-size,fwd
hhr,chevrolet,hatchback,4 cylinders,mid-size,fwd
chevelle ss,chevrolet,coupe,8 cylinders,full-size,rwd
350z,nissan,hatchback,6 cylinders,mid-size,rwd
taurus sho awd,ford,sedan,6 cylinders,full-size,4wd
yaris,toyota,hatchback,4 cylinders,compact,fwd
patriot,jeep,SUV,4 cylinders,full-size,4wd
wrx sti,subaru,sedan,4 cylinders,mid-size,4wd
traverse lt,chevrolet,SUV,6 cylinders,mid-size,fwd
pilot lx,honda,SUV,6 cylinders,full-size,4wd
maxima se,nissan,sedan,6 cylinders,full-size,fwd
liberty,jeep,SUV,6 cylinders,mid-size,4wd
silverado 1500 ld,chevrolet,truck,8 cylinders,mid-size,4wd
spectra5 sx,kia,hatchback,4 cylinders,mid-size,fwd
2500 slt crew cummins,ram,pickup,6 cylinders,full-size,rwd
altima 2.5 sv,nissan,sedan,4 cylinders,mid-size,fwd
f250 super duty,ford,pickup,8 cylinders,full-size,rwd
hr-v ex-l w/navi,honda,SUV,4 cylinders,sub-compact,4wd
300,chrysler,sedan,6 cylinders,full-size,4wd
enclave cxl awd,buick,SUV,6 cylinders,full-size,4wd
lucerne,buick,sedan,8 cylinders,full-size,fwd
a4,audi,sedan,4 cylinders,sub-compact,4wd
a8 l,audi,sedan,8 cylinders,full-size,4wd
x5 xdrive35i,bmw,SUV,6 cylinders,full-size,4wd
f250 super duty 4x4,ford,truck,8 cylinders,full-size,4wd
sonata,hyundai,other,4 cylinders,mid-size,fwd
versa sl,nissan,sedan,4 cylinders,mid-size,fwd
qx56,infiniti,SUV,8 cylinders,full-size,rwd
f350 4x4,ford,pickup,8 cylinders,full-size,4wd
6 series,bmw,coupe,8 cylinders,mid-size,4wd
srx,cadillac,SUV,6 cylinders,compact,fwd
highlander limited,toyota,SUV,6 cylinders,mid-size,fwd
aveo,chevrolet,sedan,4 cylinders,compact,fwd
sebring convertible,chrysler,convertible,6 cylinders,full-size,fwd
tacoma 4x4,toyota,truck,4 cylinders,mid-size,4wd
f550,ford,truck,8 cylinders,full-size,rwd
silverado 1500 4 x 4,chevrolet,truck,8 cylinders,full-size,4wd
deville,cadillac,sedan,8 cylinders,full-size,rwd
passat 1.8t,volkswagen,sedan,4 cylinders,full-size,fwd
xterra 4x4,nissan,SUV,6 cylinders,mid-size,4wd
ion quad coupe,saturn,coupe,4 cylinders,compact,fwd
expedition eddie bauer,ford,SUV,8 cylinders,full-size,rwd
hhr,chevrolet,van,4 cylinders,full-size,fwd
sienna,toyota,mini-van,6 cylinders,mid-size,fwd
fj cruiser 91k miles,toyota,SUV,6 cylinders,full-size,rwd
trailblazer ext,chevrolet,SUV,6 cylinders,mid-size,4wd
express cargo van,chevrolet,van,8 cylinders,mid-size,4wd
rx300,lexus,SUV,6 cylinders,mid-size,4wd
crv ex-l,honda,SUV,4 cylinders,mid-size,fwd
300m special,chrysler,sedan,6 cylinders,full-size,fwd
grand cherokee limited,jeep,SUV,6 cylinders,mid-size,4wd
sorento,kia,SUV,4 cylinders,full-size,fwd
benz cla250 4matic,mercedes-benz,coupe,4 cylinders,mid-size,4wd
428i xdrive,bmw,coupe,4 cylinders,mid-size,4wd
charger,dodge,sedan,8 cylinders,full-size,4wd
express cutaway,chevrolet,van,8 cylinders,full-size,rwd
cr-v,honda,SUV,4 cylinders,compact,fwd
crosstrek,subaru,wagon,4 cylinders,mid-size,4wd
edge,ford,SUV,6 cylinders,full-size,rwd
f350 king ranch,ford,truck,8 cylinders,full-size,4wd
mazda6 i touring,mazda,sedan,4 cylinders,mid-size,fwd
ranger v-6,ford,truck,6 cylinders,mid-size,rwd
1500,ram,truck,8 cylinders,full-size,fwd
rio,kia,sedan,4 cylinders,sub-compact,fwd
town and country l,chrysler,mini-van,6 cylinders,full-size,fwd
300,chrysler,sedan,8 cylinders,full-size,rwd
benz e320,mercedes-benz,other,6 cylinders,mid-size,rwd
cr-v ex-l,honda,SUV,4 cylinders,compact,fwd
wrangler x,jeep,SUV,6 cylinders,compact,4wd
sierra 2500hd crew cab,gmc,pickup,8 cylinders,full-size,4wd
fleetwood brougham,cadillac,sedan,8 cylinders,full-size,fwd
outback 2.5xt,subaru,SUV,4 cylinders,mid-size,4wd
sonata gls,hyundai,sedan,4 cylinders,mid-size,fwd
ram1500 crew cab,dodge,pickup,8 cylinders,full-size,4wd
focus zx3,ford,hatchback,4 cylinders,compact,fwd
f550 4x4,ford,truck,8 cylinders,full-size,4wd
pt cruiser,chrysler,hatchback,4 cylinders,full-size,fwd
xc70 awd,volvo,wagon,6 cylinders,full-size,4wd
328ci,bmw,coupe,6 cylinders,mid-size,fwd
escape sel,ford,SUV,4 cylinders,sub-compact,fwd
titan,nissan,truck,8 cylinders,mid-size,4wd
pt cruiser,chrysler,SUV,4 cylinders,mid-size,fwd
truck,chevrolet,truck,8 cylinders,full-size,rwd
f250 xl,ford,pickup,8 cylinders,full-size,rwd
camaro,chevrolet,coupe,8 cylinders,compact,rwd
f-150 lariat 4wd super crew,ford,pickup,8 cylinders,full-size,4wd
2500,ram,truck,other,full-size,4wd
f150 stx,ford,pickup,other,full-size,4wd
xf supercharged,jaguar,sedan,8 cylinders,compact,rwd
sedona lx,kia,van,6 cylinders,full-size,fwd
cherokee sport 4x4,jeep,SUV,6 cylinders,mid-size,4wd
spark,chevrolet,hatchback,4 cylinders,compact,fwd
dakota,dodge,pickup,6 cylinders,full-size,4wd
camaro lt 6 speed,chevrolet,coupe,6 cylinders,full-size,rwd
sonic,chevrolet,sedan,4 cylinders,compact,fwd
e-250,ford,van,6 cylinders,full-size,rwd
accord se sedan,honda,sedan,4 cylinders,full-size,fwd
t-bird,ford,coupe,8 cylinders,mid-size,rwd
ridgeline,honda,pickup,6 cylinders,mid-size,4wd
camry,toyota,sedan,6 cylinders,full-size,fwd
wrangler 4x4,jeep,offroad,6 cylinders,full-size,4wd
terrain sle,gmc,SUV,4 cylinders,mid-size,fwd
lesabre,buick,sedan,6 cylinders,full-size,fwd
jimmy,gmc,SUV,6 cylinders,mid-size,4wd
wrangler yj,jeep,offroad,6 cylinders,full-size,4wd
ls430,lexus,sedan,8 cylinders,full-size,rwd
windstar van,ford,mini-van,6 cylinders,mid-size,fwd
escape,ford,SUV,4 cylinders,full-size,rwd
jetta se,volkswagen,sedan,4 cylinders,mid-size,fwd
f-250,ford,truck,10 cylinders,full-size,4wd
prius,toyota,sedan,4 cylinders,full-size,fwd
genesis coupe 2.0t,hyundai,coupe,4 cylinders,mid-size,rwd
1500 lt,chevrolet,truck,8 cylinders,full-size,rwd
grand prix gt,pontiac,sedan,6 cylinders,full-size,fwd
century custom,buick,sedan,6 cylinders,full-size,fwd
wrangler unlimited sahara,jeep,SUV,6 cylinders,mid-size,4wd
tacoma,toyota,pickup,4 cylinders,mid-size,4wd
x5,bmw,SUV,6 cylinders,mid-size,4wd
maxima,nissan,sedan,6 cylinders,mid-size,rwd
patriot,jeep,SUV,4 cylinders,mid-size,4wd
2500 cargo van,chevrolet,van,8 cylinders,full-size,rwd
envoy slt,gmc,SUV,6 cylinders,full-size,4wd
330e iperformance,bmw,sedan,4 cylinders,compact,rwd
acadia,gmc,SUV,4 cylinders,mid-size,4wd
wrangler 4x4,jeep,offroad,6 cylinders,mid-size,4wd
f150 stx super cab 4x4,ford,truck,8 cylinders,mid-size,4wd
rsx type s,acura,coupe,4 cylinders,compact,fwd
jetta tdi diesel,volkswagen,sedan,4 cylinders,compact,fwd
passat,volkswagen,sedan,4 cylinders,compact,fwd
i3 range extender hatchback,bmw,hatchback,other,mid-size,rwd
s7,audi,sedan,8 cylinders,full-size,4wd
wrangler sport 4.0,jeep,SUV,6 cylinders,mid-size,4wd
king cab xe,nissan,pickup,4 cylinders,compact,rwd
s70,volvo,sedan,5 cylinders,mid-size,rwd
raider,mitsubishi,pickup,8 cylinders,full-size,4wd
freestar sel,ford,van,6 cylinders,full-size,fwd
e-class,mercedes-benz,coupe,6 cylinders,sub-compact,rwd
300c,chrysler,sedan,6 cylinders,full-size,rwd
durango slt 4x4,dodge,SUV,8 cylinders,full-size,4wd
impala lt,chevrolet,sedan,6 cylinders,mid-size,fwd
sierra 3500hd denali,gmc,pickup,8 cylinders,full-size,4wd
rogue,nissan,wagon,4 cylinders,compact,4wd
2500,ram,pickup,8 cylinders,full-size,rwd
1500,chevrolet,truck,8 cylinders,full-size,4wd
travese,chevrolet,SUV,6 cylinders,full-size,fwd
gti,volkswagen,hatchback,10 cylinders,compact,4wd
cts,cadillac,coupe,6 cylinders,mid-size,4wd
accord hybrid,honda,sedan,4 cylinders,mid-size,fwd
benz e320,mercedes-benz,sedan,6 cylinders,mid-size,rwd
ranger xlt,ford,pickup,6 cylinders,mid-size,4wd
canyon,gmc,truck,5 cylinders,full-size,4wd
mazda6,mazda,sedan,6 cylinders,compact,fwd
200 limited,chrysler,sedan,4 cylinders,full-size,fwd
f150 lariat,ford,pickup,8 cylinders,full-size,rwd
cummins 3500 laramie,ram,pickup,6 cylinders,full-size,4wd
sml 320,mercedes-benz,SUV,6 cylinders,mid-size,4wd
silverado 1500 z-71 4x4,chevrolet,truck,8 cylinders,full-size,4wd
sprinter,mercedes-benz,van,6 cylinders,full-size,rwd
a6 premium quattro 3.0,audi,sedan,6 cylinders,full-size,4wd
rx330 premium,lexus,SUV,6 cylinders,mid-size,fwd
f-250 xl,ford,truck,8 cylinders,full-size,rwd
landcruiser fj60,toyota,offroad,6 cylinders,full-size,4wd
f250 super duty,ford,pickup,10 cylinders,full-size,4wd
crv elx,honda,SUV,4 cylinders,mid-size,fwd
s-type,jaguar,sedan,8 cylinders,mid-size,rwd
f-150 xlt supercrew 4x4 sb,ford,truck,8 cylinders,full-size,4wd
ls460,lexus,sedan,8 cylinders,full-size,rwd
sierra z71 4x4,gmc,truck,8 cylinders,full-size,4wd
transit cargo,ford,van,6 cylinders,full-size,rwd
440,dodge,sedan,8 cylinders,full-size,rwd
eurovan camper,volkswagen,van,6 cylinders,full-size,fwd
mpv lx,mazda,SUV,6 cylinders,mid-size,fwd
galant,mitsubishi,sedan,4 cylinders,full-size,fwd
edge sel awd,ford,SUV,6 cylinders,compact,4wd
stepside,chevrolet,truck,other,full-size,fwd
a6,audi,sedan,6 cylinders,mid-size,4wd
ats,cadillac,coupe,4 cylinders,mid-size,4wd
armada se,nissan,SUV,8 cylinders,full-size,4wd
s4,audi,sedan,8 cylinders,mid-size,4wd
town & country,chrysler,mini-van,6 cylinders,mid-size,fwd
monterey,mercury,coupe,8 cylinders,full-size,rwd
e-class e 500 4ma,mercedes-benz,wagon,8 cylinders,full-size,4wd
g6,pontiac,sedan,6 cylinders,mid-size,fwd
f350 lariat,ford,pickup,8 cylinders,full-size,4wd
gs350,lexus,sedan,6 cylinders,full-size,4wd
jimmy,gmc,SUV,6 cylinders,full-size,4wd
2500 big horn,ram,truck,8 cylinders,full-size,4wd
mariner,mercury,SUV,6 cylinders,mid-size,fwd
prius hybrid,toyota,hatchback,4 cylinders,full-size,fwd
benz e350,mercedes-benz,sedan,6 cylinders,mid-size,rwd
impala,chevrolet,sedan,4 cylinders,mid-size,fwd
optima sx turbo,kia,sedan,4 cylinders,compact,rwd
camry solara,toyota,convertible,6 cylinders,compact,fwd
740i,bmw,sedan,8 cylinders,full-size,rwd
sky roadster 2d,saturn,convertible,4 cylinders,mid-size,rwd
q50,infiniti,sedan,6 cylinders,mid-size,rwd
dts premium collection,cadillac,sedan,8 cylinders,full-size,fwd
e450 shuttle bus,ford,bus,8 cylinders,full-size,rwd
2500 laramie slt,ram,pickup,8 cylinders,full-size,4wd
cx-3,mazda,SUV,4 cylinders,compact,4wd
journey,dodge,SUV,4 cylinders,mid-size,fwd
ranger,ford,truck,4 cylinders,mid-size,rwd
equinox,chevrolet,SUV,6 cylinders,full-size,4wd
tundra double cab 4x4,toyota,truck,8 cylinders,full-size,4wd
f-250 lariat,ford,pickup,6 cylinders,full-size,4wd
camry xle,toyota,sedan,4 cylinders,mid-size,fwd
sonata,hyundai,sedan,6 cylinders,full-size,fwd
civic hybrid,honda,sedan,4 cylinders,compact,4wd
impreza sport,subaru,hatchback,4 cylinders,compact,4wd
silverado 4x4 ltz,chevrolet,truck,8 cylinders,full-size,rwd
corvette z06,chevrolet,coupe,8 cylinders,mid-size,rwd
chevelle,chevrolet,sedan,8 cylinders,full-size,rwd
6 i touring,mazda,sedan,4 cylinders,full-size,fwd
deville dhs,cadillac,sedan,8 cylinders,full-size,fwd
liberty,jeep,SUV,6 cylinders,mid-size,rwd
grand cherokee laredo,jeep,SUV,8 cylinders,mid-size,rwd
accord coupe ex-l,honda,coupe,4 cylinders,mid-size,fwd
flex,ford,SUV,6 cylinders,mid-size,fwd
transit connect xlt,ford,SUV,4 cylinders,full-size,fwd
civic ex,honda,coupe,4 cylinders,mid-size,fwd
odyssey ex,honda,mini-van,6 cylinders,full-size,fwd
silverado crew cab,chevrolet,pickup,8 cylinders,full-size,rwd
acadia slt,gmc,SUV,6 cylinders,full-size,fwd
sonata sport,hyundai,sedan,4 cylinders,mid-size,fwd
avenger se,dodge,sedan,6 cylinders,mid-size,fwd
cr-v lx,honda,SUV,4 cylinders,full-size,fwd
outback,subaru,wagon,4 cylinders,full-size,4wd
a6 premium plus quattro,audi,sedan,4 cylinders,full-size,4wd
3500 4x4 2500,ram,truck,6 cylinders,full-size,4wd
imprezza wrx/awd 4-door,subaru,sedan,4 cylinders,mid-size,4wd
2500 4x4 long bed,gmc,truck,8 cylinders,full-size,4wd
highlander plus .one owne,toyota,SUV,6 cylinders,full-size,fwd
a3,audi,wagon,4 cylinders,compact,fwd
soul,kia,SUV,4 cylinders,mid-size,fwd
f250 superduty,ford,truck,8 cylinders,full-size,rwd
impreza 2.5i premium awd,subaru,sedan,4 cylinders,mid-size,4wd
grand prix,pontiac,sedan,8 cylinders,compact,rwd
excursion,ford,SUV,10 cylinders,full-size,rwd
envoy denali,gmc,SUV,8 cylinders,mid-size,4wd
santa fe,hyundai,SUV,6 cylinders,mid-size,4wd
spark,chevrolet,hatchback,4 cylinders,mid-size,fwd
v70,volvo,wagon,4 cylinders,mid-size,fwd
sienna xle,toyota,mini-van,6 cylinders,mid-size,fwd
f-250,ford,truck,8 cylinders,full-size,rwd
malibu premier,chevrolet,sedan,6 cylinders,mid-size,fwd
expedition xlt,ford,truck,8 cylinders,full-size,rwd
sonis,chevrolet,sedan,4 cylinders,mid-size,fwd
new yorker,chrysler,sedan,8 cylinders,full-size,rwd
focus,ford,sedan,3 cylinders,compact,fwd
yukon xl slt,gmc,SUV,8 cylinders,full-size,4wd
freestar,ford,mini-van,6 cylinders,full-size,fwd
suv,infiniti,SUV,6 cylinders,full-size,4wd
650i,bmw,coupe,8 cylinders,mid-size,rwd
g37x,infiniti,coupe,6 cylinders,compact,4wd
malibu,chevrolet,sedan,6 cylinders,mid-size,fwd
sierra 3500hd 4x4,gmc,pickup,8 cylinders,full-size,4wd
sl500,mercedes-benz,convertible,8 cylinders,compact,rwd
ranger,ford,truck,4 cylinders,compact,rwd
rendezvous,buick,SUV,6 cylinders,mid-size,4wd
sable ls,mercury,sedan,6 cylinders,mid-size,fwd
renegade sport,jeep,SUV,4 cylinders,mid-size,4wd
land cruiser 1997,toyota,SUV,6 cylinders,full-size,4wd
fit,honda,hatchback,4 cylinders,sub-compact,fwd
gti,volkswagen,hatchback,4 cylinders,compact,fwd
a4 quattro,audi,sedan,4 cylinders,mid-size,4wd
nv1500,nissan,van,6 cylinders,full-size,rwd
impala limited,chevrolet,sedan,6 cylinders,compact,fwd
f100,ford,truck,8 cylinders,full-size,fwd
f-350 super duty,ford,truck,8 cylinders,full-size,4wd
cobalt lt,chevrolet,coupe,4 cylinders,mid-size,rwd
optima lx,kia,sedan,4 cylinders,compact,fwd
acadia sle,gmc,SUV,4 cylinders,mid-size,fwd
325i,bmw,sedan,4 cylinders,mid-size,rwd
rx350 f-sport,lexus,SUV,6 cylinders,mid-size,4wd
f-250 super duty,ford,truck,8 cylinders,full-size,4wd
tacoma double cab,toyota,truck,6 cylinders,full-size,4wd
cruze lt,chevrolet,sedan,4 cylinders,compact,fwd
325i,bmw,sedan,6 cylinders,mid-size,rwd
charger,dodge,sedan,8 cylinders,compact,rwd
journey,dodge,SUV,6 cylinders,full-size,fwd
sierra 3500hd,gmc,pickup,8 cylinders,full-size,4wd
sentra,nissan,sedan,4 cylinders,full-size,fwd
f250 super duty lariat,ford,pickup,8 cylinders,full-size,4wd
aura,saturn,sedan,4 cylinders,mid-size,fwd
pathfinder,nissan,SUV,6 cylinders,full-size,4wd
2.5i sport wagon awd,subaru,hatchback,4 cylinders,compact,4wd
impala ss,chevrolet,coupe,8 cylinders,full-size,rwd
other,subaru,sedan,4 cylinders,compact,4wd
accord ex-l,honda,sedan,6 cylinders,mid-size,rwd
transit 250,ford,van,6 cylinders,full-size,rwd
outlander sport,mitsubishi,SUV,4 cylinders,compact,fwd
is250 sedan,lexus,sedan,6 cylinders,compact,rwd
fiesta,ford,sedan,4 cylinders,compact,fwd
pt cruiser,chrysler,wagon,4 cylinders,mid-size,fwd
srx awd,cadillac,SUV,6 cylinders,full-size,4wd
cruze,chevrolet,sedan,4 cylinders,full-size,fwd
f-150 raptor,ford,truck,6 cylinders,full-size,4wd
taurus,ford,sedan,4 cylinders,full-size,fwd
ssr ls,chevrolet,truck,8 cylinders,full-size,rwd
f350 super duty,ford,pickup,8 cylinders,full-size,rwd
sierra 1500 z-71 4x4,gmc,truck,8 cylinders,full-size,4wd
caliber,dodge,SUV,4 cylinders,compact,fwd
f-350 xl 4x4,ford,pickup,8 cylinders,full-size,4wd
charger,dodge,sedan,6 cylinders,compact,rwd
enclave,buick,SUV,6 cylinders,mid-size,fwd
1500,ram,truck,6 cylinders,mid-size,rwd
convertible,mini,convertible,4 cylinders,sub-compact,fwd
rx 300,lexus,SUV,6 cylinders,mid-size,4wd
viper rt/10,dodge,coupe,10 cylinders,compact,rwd
suburban 1500 ltz,chevrolet,SUV,6 cylinders,full-size,4wd
g37 coupe journey,infiniti,coupe,6 cylinders,mid-size,rwd
rogue,nissan,SUV,4 cylinders,compact,4wd
nitro,dodge,SUV,6 cylinders,mid-size,rwd
m3,bmw,sedan,10 cylinders,compact,4wd
silverado 1500 ld,chevrolet,truck,8 cylinders,mid-size,rwd
kodiak,chevrolet,other,6 cylinders,full-size,4wd
f150 supercrew xlt 4x4,ford,pickup,6 cylinders,full-size,4wd
maxima s,nissan,sedan,6 cylinders,full-size,fwd
silverado 1500 lt 4x4,chevrolet,offroad,8 cylinders,full-size,4wd
960,volvo,sedan,4 cylinders,full-size,rwd
new beetle,volkswagen,hatchback,4 cylinders,compact,fwd
cobalt ss,chevrolet,coupe,4 cylinders,compact,fwd
f250,ford,pickup,8 cylinders,mid-size,4wd
cruze ltz,chevrolet,sedan,4 cylinders,compact,fwd
mirage,mitsubishi,coupe,4 cylinders,compact,fwd
prelude,honda,coupe,4 cylinders,compact,rwd
altima 2.5 s,nissan,sedan,4 cylinders,full-size,fwd
cl600,mercedes-benz,coupe,12 cylinders,full-size,rwd
navigator l,lincoln,SUV,6 cylinders,full-size,4wd
ranger,ford,pickup,4 cylinders,compact,rwd
c-10 silverado,chevrolet,pickup,8 cylinders,full-size,rwd
traverse ltz,chevrolet,SUV,6 cylinders,mid-size,4wd
cx-5,mazda,SUV,4 cylinders,full-size,4wd
3 series,bmw,coupe,6 cylinders,mid-size,4wd
200 lx,chrysler,sedan,4 cylinders,mid-size,fwd
rx330,lexus,SUV,6 cylinders,full-size,rwd
taurus sel,ford,sedan,6 cylinders,mid-size,fwd
altima 2.5 sl,nissan,sedan,4 cylinders,full-size,fwd
tacoma double cab sr5,toyota,truck,6 cylinders,mid-size,fwd
explorer,ford,SUV,6 cylinders,mid-size,rwd
land cruiser,toyota,SUV,6 cylinders,full-size,4wd
fusion titanium,ford,sedan,4 cylinders,mid-size,fwd
prius plug in,toyota,sedan,4 cylinders,full-size,fwd
fairlane,ford,coupe,8 cylinders,full-size,rwd
benz e320,mercedes-benz,sedan,8 cylinders,full-size,rwd
jetta,volkswagen,sedan,4 cylinders,full-size,fwd
zephyr,lincoln,sedan,6 cylinders,mid-size,fwd
